#STEP =     20127300
              lambda    F(lambda) fitted   dF/dLambda fitted       F(lambda) raw          <dudl> raw
        0.0000000000        0.0000000000        1.7816231360        0.0000000000        1.7816231360        1.7816231360
        0.0100000000        0.0177979808        1.7743229132        0.0178162314        1.7670226904        1.7670226904
        0.0200000000        0.0354676321        1.7594922150        0.0354864583        1.7519617396        1.7519617396
        0.0300000000        0.0529825931        1.7425687111        0.0530060757        1.7331756826        1.7331756826
        0.0400000000        0.0703176448        1.7251005971        0.0703378325        1.7170255115        1.7170255115
        0.0500000000        0.0874855379        1.7080056501        0.0875080876        1.6989857886        1.6989857886
        0.0600000000        0.1044733965        1.6891662082        0.1044979455        1.6793466277        1.6793466277
        0.0700000000        0.1212679472        1.6699608141        0.1212914118        1.6605750005        1.6605750005
        0.0800000000        0.1378784960        1.6531086811        0.1378971618        1.6456423618        1.6456423618
        0.0900000000        0.1543260686        1.6346356509        0.1543535854        1.6236289400        1.6236289400
        0.1000000000        0.1705675826        1.6147120762        0.1705898748        1.6057952124        1.6057952124
        0.1100000000        0.1866258956        1.5970226696        0.1866478269        1.5882501268        1.5882501268
        0.1200000000        0.2025050522        1.5781397466        0.2025303282        1.5680293664        1.5680293664
        0.1300000000        0.2181898843        1.5597343488        0.2182106218        1.5514393312        1.5514393312
        0.1400000000        0.2336979991        1.5406328990        0.2337250152        1.5298264669        1.5298264669
        0.1500000000        0.2489982499        1.5198144899        0.2490232798        1.5098025129        1.5098025129
        0.1600000000        0.2640965081        1.4998837578        0.2641213050        1.4899650027        1.4899650027
        0.1700000000        0.2789983745        1.4809328008        0.2790209550        1.4719005989        1.4719005989
        0.1800000000        0.2937206068        1.4641589286        0.2937399610        1.4564172582        1.4564172582
        0.1900000000        0.3082822537        1.4476653053        0.3083041336        1.4389133524        1.4389133524
        0.2000000000        0.3226697561        1.4295089784        0.3226932671        1.4201046044        1.4201046044
        0.2100000000        0.3368712831        1.4108926055        0.3368943131        1.4016806066        1.4016806066
        0.2200000000        0.3508874327        1.3922060266        0.3509111192        1.3827314466        1.3827314466
        0.2300000000        0.3647162513        1.3738585196        0.3647384337        1.3649855927        1.3649855927
        0.2400000000        0.3783688750        1.3572197528        0.3783882896        1.3494539130        1.3494539130
        0.2500000000        0.3918611758        1.3407927342        0.3918828287        1.3321315555        1.3321315555
        0.2600000000        0.4051751960        1.3205522437        0.4052041443        1.3089729319        1.3089729319
        0.2700000000        0.4182738679        1.3009706484        0.4182938736        1.2929683650        1.2929683650
        0.2800000000        0.4312029008        1.2847057775        0.4312235572        1.2764431900        1.2764431900
        0.2900000000        0.4439680020        1.2684483325        0.4439879891        1.2604534751        1.2604534751
        0.3000000000        0.4565736357        1.2528981974        0.4565925239        1.2453429198        1.2453429198
        0.3100000000        0.4690260777        1.2373927834        0.4690459531        1.2294426469        1.2294426469
        0.3200000000        0.4813193582        1.2210341172        0.4813403796        1.2126255875        1.2126255875
        0.3300000000        0.4934450119        1.2039761620        0.4934666354        1.1953267364        1.1953267364
        0.3400000000        0.5054059225        1.1897346128        0.5054199028        1.1841424893        1.1841424893
        0.3500000000        0.5172395653        1.1754375241        0.5172613277        1.1667325590        1.1667325590
        0.3600000000        0.5289116967        1.1599499291        0.5289286533        1.1531672992        1.1531672992
        0.3700000000        0.5404450160        1.1470431951        0.5404603263        1.1409190911        1.1409190911
        0.3800000000        0.5518530525        1.1343332274        0.5518695172        1.1277473637        1.1277473637
        0.3900000000        0.5631297977        1.1208701318        0.5631469908        1.1139929000        1.1139929000
        0.4000000000        0.5742696657        1.1070912740        0.5742869198        1.1001896480        1.1001896480
